1	1	0	A stuffed animal sitting on top of a table.	A deer head is mounted horizontally next to a painting	open-images-1815_f91d6f546e63f20d	5
1	1	0	A bunch of different kinds of birds hanging from the ceiling.	Some green grass is seen in the lower right corner next to a sculpture of some birds above flowers. 	open-images-1815_f91d6f546e63f20d	7
1	1	0	A black and white photo of a large dog in a museum.	There is a fossil structure with a head, two arms, and a long spine.	open-images-1815_f91d6f546e63f20d	3
1	0	1	A picture of clothes and wires on a wire fence.	the transition image into the one of the lady in blue from the one where bags where hang up	MSR-VTT-videoTestVideo_video7047-shot1_0	7
1	1	1	A couple of people standing next to each other.	Two girls are clearly shown, and the girl toward the center of the image has both hands pointing leftward with fingers spread.	MSR-VTT-videoTestVideo_video7047-shot1_0	8
1	0	1	A group of people standing next to each other.	Two girls are shown. The girl in brown is turned more toward the girl in blue. The girl in blue is looking straight ahead.	MSR-VTT-videoTestVideo_video7047-shot1_0	9
0	0	1	A group of people walking in a park.	There is a grey monument wall that is located between the black girl and the girl in the middle. The black girl is facing to the left.	MSR-VTT-videoTestVideo_video9787-shot1_0	8
0	0	1	A group of women are walking on a sidewalk.	There is a man in a white shirt and black pants to the left of the girls. He is the only person behind them that is completely visible. He is not touching the edge of the frame.	MSR-VTT-videoTestVideo_video9787-shot1_0	9
0	0	1	A group of women standing next to each other on a field.	You can see the woman on the far right's face really well. 	video-storytelling-videocamping_1OzbiB1TIWI-shot14_2	6
0	0	1	A group of people standing next to each other.	The person with the white shirt  over her butt is really bent over far with her hands at her back. 	video-storytelling-videocamping_1OzbiB1TIWI-shot14_2	7
0	0	1	A group of people standing next to each other.	The woman on the right has her mouth wide open and her eyes wide.	video-storytelling-videocamping_1OzbiB1TIWI-shot14_2	8
0	1	0	A dirty toilet sitting next to a sink.	A white object that has a lot of rust on it.  There is a pipe sticking out of the top of the white object and another larger pipe that is just seen at the top of the image. 	open-images-411_480d72ee0f97da49	1
0	1	0	A couple of dirty toothbrushes sitting on top of a sink.	Three pieces of hardware sitting on the edge of a sink.  The piece on the right is all black. 	open-images-411_480d72ee0f97da49	8
0	0	0	A dirty toilet with a dirty rim on it.	Single sink with a white stopper on the right top. The inside of the sink is brown and gross around the drain.	open-images-411_480d72ee0f97da49	6
0	0	1	A person holding a pair of scissors on a table.	The white rolling pin is centered on the yellow item, and it isn't badly double exposed.	MSR-VTT-videoTestVideo_video7020-shot1_1	4
0	0	1	A person is using scissors to cut a piece of fabric.	There is an equal amount of yellow and white between both hands	MSR-VTT-videoTestVideo_video7020-shot1_1	5
1	0	1	A bowl filled with a variety of vegetables in a bowl.	You only see the spoon right above the salad. You can see a very small blur of one finger. The mixing haven't started. 	YouCook-video0037-shot3_0	3
1	0	1	A bowl filled with vegetables in a bowl.	small particles of something is sprinkle on the food inside the bowl, no finger is visible	YouCook-video0037-shot3_0	4
